ticket_id,date,day_of_week,month,category,channel,priority,agent,response_time_hours,resolution_time_hours,satisfaction_score,resolved
RF-5010,2024-07-03,Wednesday,July,Account Issues,Live Chat,High,Lisa C,3.9,6.3,3.3,Yes
RF-5231,2024-07-03,Wednesday,July,Product Information,Phone,Medium,David L,2.3,5.0,4.3,Yes
RF-5189,2024-07-05,Friday,July,Order Tracking,Live Chat,Medium,David L,2.7,6.1,4.5,Yes
RF-5242,2024-07-05,Friday,July,Order Tracking,Social Media,Medium,Sarah M,7.8,10.1,4.7,Yes
RF-5052,2024-07-06,Saturday,July,Account Issues,Phone,Medium,James K,4.4,7.1,3.7,Yes
RF-5002,2024-07-07,Sunday,July,Product Information,Email,High,Amy T,11.5,15.0,3.7,Yes
RF-5149,2024-07-07,Sunday,July,Returns & Refunds,Email,Medium,Priya R,20.0,36.3,1.0,Yes
RF-5165,2024-07-07,Sunday,July,Account Issues,Phone,High,Tom W,9.4,6.6,3.1,Yes
RF-5102,2024-07-08,Monday,July,Order Tracking,Email,Medium,James K,15.8,10.4,2.5,Yes
RF-5205,2024-07-09,Tuesday,July,Order Tracking,Phone,Medium,Sarah M,3.8,8.1,3.6,Yes
RF-5119,2024-07-10,Wednesday,July,Order Tracking,Social Media,Low,James K,6.0,11.0,4.1,Yes
RF-5162,2024-07-10,Wednesday,July,Order Tracking,Phone,Medium,David L,2.3,9.5,3.7,No
RF-5175,2024-07-10,Wednesday,July,Billing Queries,Phone,Medium,Lisa C,6.7,5.7,3.4,Yes
RF-5259,2024-07-10,Wednesday,July,Product Information,Social Media,High,Amy T,3.1,6.0,4.5,Yes
RF-5030,2024-07-11,Thursday,July,Delivery Problems,Phone,Medium,James K,5.1,17.9,3.1,No
RF-5120,2024-07-11,Thursday,July,Product Information,Social Media,High,Marcus B,4.5,8.2,4.5,Yes
RF-5154,2024-07-11,Thursday,July,Delivery Problems,Live Chat,Low,Lisa C,5.0,16.1,3.1,Yes
RF-5036,2024-07-12,Friday,July,Delivery Problems,Live Chat,Critical,Tom W,3.9,6.9,2.5,No
RF-5063,2024-07-12,Friday,July,Billing Queries,Email,High,Priya R,12.7,33.5,2.1,Yes
RF-5018,2024-07-14,Sunday,July,Account Issues,Social Media,Low,Amy T,18.0,9.7,2.6,Yes
RF-5130,2024-07-14,Sunday,July,Account Issues,Social Media,Medium,James K,14.4,9.9,2.2,Yes
RF-5007,2024-07-15,Monday,July,Order Tracking,Live Chat,Medium,Lisa C,4.8,8.5,4.3,Yes
RF-5254,2024-07-17,Wednesday,July,Returns & Refunds,Email,Critical,Tom W,9.4,25.7,1.1,Yes
RF-5016,2024-07-18,Thursday,July,Billing Queries,Social Media,Low,Tom W,6.6,18.8,3.3,Yes
RF-5026,2024-07-18,Thursday,July,Delivery Problems,Phone,Low,Lisa C,6.4,25.4,2.9,Yes
RF-5077,2024-07-18,Thursday,July,Returns & Refunds,Email,Medium,Lisa C,19.3,35.0,1.8,Yes
RF-5144,2024-07-18,Thursday,July,Order Tracking,Email,Medium,Sarah M,8.2,18.0,3.6,Yes
RF-5185,2024-07-18,Thursday,July,Billing Queries,Email,Medium,Priya R,14.0,33.8,1.5,No
RF-5147,2024-07-19,Friday,July,Product Information,Social Media,Medium,James K,5.2,12.2,4.6,Yes
RF-5260,2024-07-20,Saturday,July,Product Information,Live Chat,High,Sarah M,1.4,5.0,4.9,Yes
RF-5132,2024-07-21,Sunday,July,Returns & Refunds,Live Chat,Critical,Marcus B,7.4,11.7,1.9,Yes
RF-5209,2024-07-21,Sunday,July,Product Information,Social Media,Low,Amy T,4.9,9.1,4.1,Yes
RF-5221,2024-07-22,Monday,July,Order Tracking,Phone,High,Priya R,3.3,11.9,4.0,Yes
RF-5174,2024-07-23,Tuesday,July,Account Issues,Phone,High,Sarah M,5.7,6.6,4.0,Yes
RF-5235,2024-07-23,Tuesday,July,Product Information,Social Media,High,Tom W,3.1,10.2,4.2,Yes
RF-5020,2024-07-24,Wednesday,July,Billing Queries,Social Media,Low,David L,8.1,26.4,2.2,Yes
RF-5040,2024-07-24,Wednesday,July,Delivery Problems,Email,High,Tom W,16.7,23.8,1.7,Yes
RF-5060,2024-07-24,Wednesday,July,Returns & Refunds,Email,Medium,Marcus B,14.8,46.8,1.0,Yes
RF-5072,2024-07-24,Wednesday,July,Product Information,Email,Medium,James K,7.4,9.3,3.5,No
RF-5239,2024-07-24,Wednesday,July,Returns & Refunds,Email,High,Marcus B,14.5,44.8,1.3,Yes
RF-5042,2024-07-28,Sunday,July,Delivery Problems,Phone,High,David L,8.4,22.9,2.6,Yes
RF-5115,2024-07-28,Sunday,July,Order Tracking,Email,Medium,Amy T,19.7,10.7,2.8,Yes
RF-5055,2024-07-31,Wednesday,July,Delivery Problems,Email,Low,Amy T,15.1,20.7,1.2,Yes
RF-5146,2024-07-31,Wednesday,July,Returns & Refunds,Phone,Medium,Lisa C,7.8,30.7,2.0,Yes
RF-5113,2024-08-03,Saturday,August,Returns & Refunds,Email,Medium,Marcus B,9.6,62.6,2.5,No
RF-5151,2024-08-03,Saturday,August,Product Information,Social Media,Low,James K,4.2,6.5,3.6,No
RF-5229,2024-08-04,Sunday,August,Returns & Refunds,Phone,Low,Marcus B,14.1,18.4,1.4,Yes
RF-5246,2024-08-04,Sunday,August,Account Issues,Email,Low,Sarah M,13.8,19.1,2.8,Yes
RF-5084,2024-08-07,Wednesday,August,Order Tracking,Email,High,Priya R,5.4,8.5,4.0,Yes
RF-5099,2024-08-07,Wednesday,August,Delivery Problems,Email,Medium,Priya R,18.8,39.4,1.7,Yes
RF-5166,2024-08-07,Wednesday,August,Delivery Problems,Phone,Medium,James K,4.3,15.8,2.6,Yes
RF-5078,2024-08-08,Thursday,August,Product Information,Email,Medium,Amy T,5.5,9.2,4.1,Yes
RF-5003,2024-08-09,Friday,August,Order Tracking,Email,Low,Amy T,4.9,20.6,4.2,Yes
RF-5031,2024-08-09,Friday,August,Billing Queries,Phone,Low,Priya R,6.7,5.9,3.6,Yes
RF-5110,2024-08-09,Friday,August,Order Tracking,Email,High,Lisa C,7.2,13.9,3.8,Yes
RF-5067,2024-08-10,Saturday,August,Order Tracking,Email,Low,Amy T,7.2,16.6,3.6,Yes
RF-5053,2024-08-12,Monday,August,Account Issues,Social Media,High,Priya R,7.7,15.9,3.7,No
RF-5232,2024-08-12,Monday,August,Order Tracking,Live Chat,High,Lisa C,2.7,8.4,4.7,Yes
RF-5255,2024-08-14,Wednesday,August,Order Tracking,Email,High,Priya R,7.5,12.7,4.3,Yes
RF-5117,2024-08-15,Thursday,August,Billing Queries,Email,Medium,David L,13.1,37.1,1.5,No
RF-5019,2024-08-16,Friday,August,Returns & Refunds,Phone,Critical,David L,8.5,27.7,1.7,Yes
RF-5023,2024-08-17,Saturday,August,Order Tracking,Live Chat,High,Amy T,1.7,7.1,4.4,Yes
RF-5074,2024-08-18,Sunday,August,Product Information,Email,Medium,David L,8.9,11.9,3.4,Yes
RF-5194,2024-08-18,Sunday,August,Order Tracking,Phone,Medium,Sarah M,5.3,8.6,4.4,Yes
